الرقم المتسلسل,رقم التصنيف المكتبي,اسم الكتاب,الجزء,المؤلف,رقم صفحة السجل,الحالة,المستعير,تاريخ الإعارة,ملاحظات
1,,بنك المعلومات,1,محمد برهوم,1,متوفر,,,
2,,بنك المعلومات,2,محمد برهوم,1,متوفر,,,
3,,بنك المعلومات,3,محمد برهوم,1,متوفر,,,
4,,بنك المعلومات,4,محمد برهوم,1,متوفر,,,
5,,بنك المعلومات,5,محمد برهوم,1,متوفر,,,
6,,بنك المعلومات,6,محمد برهوم,1,متوفر,,,
7,,خطوة خطوة excel,,كورتس,1,متوفر,,,
8,,خطوة خطوة word,,جوليس كوكس,1,متوفر,,,
9,,خطوة خطوة Access,,ستيف لابرت,1,متوفر,,,
10,,الموسوعة الفلسطينية,القسم الثاني,انيس صانع,1,متوفر,,,
11,,الموسوعة الفلسطينية (جغرافيا),المجلد الاول,انيس صانع,1,متوفر,,,
12,,الموسوعة الفلسطينية(تاريخية),المجلد االثاني,انيس صانع,1,متوفر,,,
13,,الموسوعة الفلسطينية(حضارة),المجلد الثالث,انيس صانع,1,متوفر,,,
14,,الموسوعة الفلسطينية(حضارة),المجلد الرابع,انيس صانع,1,متوفر,,,
15,,الموسوعة الفلسطينية(القضية),المجلد الخامس,انيس صانع,1,متوفر,,,
16,,الموسوعة الفلسطينية(القضية),المجلد السادس,انيس صانع,1,متوفر,,,
17,,موسوعة تجارب الاسرى الفلسطيني والعرب,1,فهد ابو الحاج,1,متوفر,,,
18,,موسوعة تجارب الاسرى الفلسطيني والعرب,2,فهد ابو الحاج,1,متوفر,,,
19,,موسوعة الاسعافات الاولية,,صبحي عمران شلش,2,متوفر,,,
20,,الموسوعة العلمية المعاصرة,,احمد شفيق الخطيب,2,متوفر,,,
21,,الموسوعة العلمية المعاصرة,,احمد شفيق الخطيب,2,متوفر,,,
22,,الموسوعة العلمية المعاصرة,,احمد شفيق الخطيب,2,متوفر,,,
23,,تجميل البشرة,,ناهد الحسن,2,متوفر,,,
24,,مشكلات الاطفال اليومية,,دجلاس توم,2,متوفر,,,
25,,العلاج الطبيعي والمساج,,محمود بديع,2,متوفر,,,
